DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
02/05/19,00:00:00,161.5700000,162.6150000,159.8000000,161.6900000,77432
03/05/19,00:00:00,162.9800000,163.5000000,160.8900000,163.3400000,87280
06/05/19,00:00:00,158.3200000,162.8200000,157.8600000,162.5000000,82265
07/05/19,00:00:00,161.3300000,161.6700000,154.9000000,156.8850000,210672
08/05/19,00:00:00,157.1100000,157.9000000,155.0500000,156.9200000,62217
09/05/19,00:00:00,154.8700000,157.0650000,152.4400000,156.3000000,164739
10/05/19,00:00:00,156.3000000,160.5900000,154.4300000,159.9200000,109924
13/05/19,00:00:00,154.9200000,156.7900000,152.8300000,153.1600000,171158
14/05/19,00:00:00,155.0500000,158.5700000,153.0000000,158.0500000,159820
15/05/19,00:00:00,153.8200000,156.3200000,151.8600000,155.0400000,216021
16/05/19,00:00:00,156.2300000,159.4300000,155.9900000,158.4650000,137461
17/05/19,00:00:00,156.3600000,157.1100000,153.9800000,154.5600000,119655
20/05/19,00:00:00,152.5000000,156.0600000,151.7600000,155.9400000,94265
21/05/19,00:00:00,157.5000000,157.7600000,155.2800000,155.7500000,70782
22/05/19,00:00:00,155.8700000,158.1900000,155.8700000,157.7100000,79759
23/05/19,00:00:00,155.9000000,156.1300000,152.1900000,153.7550000,122609
24/05/19,00:00:00,154.8900000,156.8600000,154.2600000,154.4900000,78150
28/05/19,00:00:00,155.3800000,157.7600000,154.4950000,155.1600000,120518
29/05/19,00:00:00,153.7300000,154.0000000,151.2300000,153.0600000,135741
30/05/19,00:00:00,154.5600000,155.8600000,154.5600000,155.6500000,165290
31/05/19,00:00:00,152.5300000,154.2000000,151.3300000,151.4250000,111730
03/06/19,00:00:00,150.3100000,150.5500000,143.4200000,144.9850000,220681
04/06/19,00:00:00,146.1000000,150.7000000,142.5700000,150.4800000,316780
05/06/19,00:00:00,157.2900000,158.5000000,154.5800000,158.4600000,341993
06/06/19,00:00:00,158.5000000,159.9900000,157.4300000,159.3700000,203713
07/06/19,00:00:00,159.8500000,162.9900000,159.6000000,161.3600000,322776
10/06/19,00:00:00,153.5100000,157.2800000,150.8500000,152.7500000,1480256
11/06/19,00:00:00,155.4100000,155.6600000,148.8100000,150.0600000,663436
12/06/19,00:00:00,151.1500000,152.3000000,150.2500000,151.2800000,301500
13/06/19,00:00:00,152.1000000,152.1500000,150.2600000,151.3300000,165809
14/06/19,00:00:00,151.0800000,151.9200000,149.4900000,150.0400000,216271
17/06/19,00:00:00,150.4100000,151.2300000,150.0000000,150.2700000,239622
18/06/19,00:00:00,151.6600000,152.9300000,150.5000000,150.5500000,406200
19/06/19,00:00:00,151.5400000,154.4200000,150.5150000,154.1300000,437515
20/06/19,00:00:00,156.3000000,158.2900000,155.4300000,157.2800000,753233
21/06/19,00:00:00,156.6700000,157.7900000,155.9500000,156.8000000,528992
24/06/19,00:00:00,157.4000000,157.7300000,152.5600000,152.5600000,428395
25/06/19,00:00:00,152.9600000,152.9600000,148.6000000,149.2900000,486399
26/06/19,00:00:00,151.2000000,151.3100000,148.9300000,149.0500000,302838
27/06/19,00:00:00,149.9600000,150.7600000,148.4800000,150.6700000,446167
28/06/19,00:00:00,150.4200000,151.7500000,149.6000000,151.7400000,357234
01/07/19,00:00:00,154.6700000,154.6700000,151.8600000,154.0900000,406822
02/07/19,00:00:00,154.1500000,154.2700000,152.5900000,154.0800000,327431
03/07/19,00:00:00,154.4900000,155.7500000,154.2200000,155.7000000,280613
